Date,Country,Airport,Injury,Damage,Category,Broad Phase of Flight,longitude,latitude
01,26,United States,JGG,0,Substantial,Airplane,LANDING,37.239166,-76.716111
03,23,United States,FNL,0,Substantial,Airplane,APPROACH,40.451944,-105.011389
01,03,United States,PRC,0,Substantial,Airplane,LANDING,34.653333,-112.42
09,11,United States,TOL,2,Destroyed,Airplane,APPROACH,41.596389,-83.783889
08,02,Chile,SCGE,1,Destroyed,Airplane,APPROACH,-37.390555,-72.424167
07,25,United States,AKQ,0,Substantial,Airplane,TAKEOFF,36.981111,-77.003056
07,21,United States,PVT,0,Substantial,Airplane,TAKEOFF,43.484166,-84.484444
07,11,United States,KTN,1,Substantial,Airplane,APPROACH,55.299166,-131.6325
07,09,United States,KSNY,0,Substantial,Airplane,TAKEOFF,41.101389,-102.985277
07,01,United States,FSM,0,Substantial,Airplane,CRUISE,35.334444,-94.265556
06,28,United States,LHM,0,Substantial,Airplane,LANDING,38.908611,-121.351111
06,21,United States,JFX,0,Substantial,Airplane,APPROACH,33.901111,-87.304167
06,11,United States,DVT,0,Substantial,Airplane,TAKEOFF,33.683611,-112.126945
06,04,United States,DXR,0,Substantial,Glider,APPROACH,41.41,-73.465556
06,01,United States,HCR,0,Substantial,Airplane,TAKEOFF,40.481945,-111.428056
05,31,United States,SAR,0,Substantial,Airplane,LANDING,38.148889,-89.698611
05,30,United States,IYS,1,Destroyed,Airplane,TAKEOFF,61.576111,-149.531111
05,26,United States,C77,0,Substantial,Airplane,CRUISE,42.342777,-88.896666
05,19,United States,ID40,1,Substantial,Airplane,TAKEOFF,43.423056,-116.7125
05,14,United States,JER,0,Substantial,Airplane,TAKEOFF,42.725278,-114.447222
05,11,United States,77S,1,Substantial,Weight-Shift,MANEUVERING,43.929445,-123.006389
05,02,United States,MWL,0,Substantial,Airplane,APPROACH,32.770834,-98.042777
04,18,United States,BOK,2,Substantial,Airplane,TAKEOFF,42.083889,-124.301667
03,12,United States,LBE,0,Substantial,Airplane,LANDING,40.273056,-79.408333
01,21,United States,OH22,2,Substantial,Airplane,TAKEOFF,40.761111,-81.778889
01,20,United States,PTN,0,Substantial,Airplane,APPROACH,29.707222,-91.296389
01,19,United States,TOA,0,Minor,Airplane,TAXI,33.801389,-118.341944
